-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 09/01/2024 through 10/01/2024 in LST
Location: Latitude  -7.679   Longitude 113.2538 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 96.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,T2M,RH2M,WS10M,WD10M
2024,9,1,0,0.0,407.88,26.6,75.84,3.45,156.0
2024,9,1,1,0.0,408.35,26.34,76.81,3.76,164.3
2024,9,1,2,0.0,399.2,26.08,77.69,4.22,170.4
2024,9,1,3,0.0,404.92,25.78,78.63,4.56,173.5
2024,9,1,4,0.0,402.83,25.51,79.6,4.77,174.7
2024,9,1,5,0.0,399.65,25.33,80.42,4.75,175.4
2024,9,1,6,10.98,400.05,25.33,80.6,4.66,175.6
2024,9,1,7,169.52,402.67,26.41,75.04,5.15,173.1
2024,9,1,8,391.1,396.17,27.89,67.11,4.77,168.8
2024,9,1,9,594.42,407.12,29.56,59.18,4.09,162.9
2024,9,1,10,775.7,410.45,31.08,53.38,3.58,158.2
2024,9,1,11,904.62,414.27,32.24,50.0,3.24,153.4
2024,9,1,12,958.5,420.48,32.93,49.9,2.89,145.0
2024,9,1,13,922.78,418.48,33.4,48.61,2.91,135.8
2024,9,1,14,754.83,424.05,33.6,47.43,3.09,128.9
2024,9,1,15,595.33,424.48,33.47,47.33,3.28,125.6
2024,9,1,16,377.6,422.6,32.99,48.32,3.44,127.0
2024,9,1,17,145.35,419.77,32.16,50.51,3.68,133.5
2024,9,1,18,5.55,413.77,30.9,54.22,3.89,143.2
2024,9,1,19,0.0,408.0,29.75,59.81,4.41,148.9
2024,9,1,20,0.0,399.62,28.76,65.74,5.08,150.9
2024,9,1,21,0.0,405.77,27.84,70.58,5.54,155.3
2024,9,1,22,0.0,403.98,27.08,74.39,5.66,161.3
2024,9,1,23,0.0,401.88,26.52,76.47,5.53,165.7
2024,9,2,0,0.0,401.52,26.13,77.35,5.26,167.3
2024,9,2,1,0.0,406.33,25.82,78.43,4.92,167.1
2024,9,2,2,0.0,389.58,25.6,79.29,4.69,165.4
2024,9,2,3,0.0,396.65,25.45,80.0,4.5,162.4
2024,9,2,4,0.0,393.08,25.33,80.77,4.34,159.1
2024,9,2,5,0.0,393.0,25.21,81.67,4.1,158.4
2024,9,2,6,11.15,393.67,25.24,81.87,3.97,158.9
2024,9,2,7,168.98,398.42,26.51,75.71,4.67,154.8
2024,9,2,8,394.02,397.52,27.99,67.82,4.68,146.1
2024,9,2,9,590.65,407.23,29.66,59.87,4.26,136.0
2024,9,2,10,780.5,418.62,31.16,53.84,3.7,126.1
2024,9,2,11,884.42,422.7,32.1,53.07,3.13,117.6
