-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 12/01/2024 through 01/01/2025 in UTC
Location: Latitude  -7.679   Longitude 113.2538 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 96.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,T2M,RH2M,WS10M,WD10M
2024,12,1,0,188.27,440.38,28.79,81.91,2.52,169.7
2024,12,1,1,240.32,447.6,29.25,78.16,2.64,165.8
2024,12,1,2,302.1,446.5,29.68,75.45,3.08,165.7
2024,12,1,3,253.85,447.12,30.13,73.31,3.58,169.7
2024,12,1,4,220.43,448.77,30.59,71.15,3.63,169.0
2024,12,1,5,189.98,445.17,30.89,68.91,2.56,154.3
2024,12,1,6,142.45,441.05,30.77,68.62,1.75,124.5
2024,12,1,7,113.65,440.1,30.19,71.38,1.88,94.3
2024,12,1,8,66.75,439.25,29.57,75.19,2.39,81.6
2024,12,1,9,28.52,437.45,28.96,79.39,2.81,76.0
2024,12,1,10,2.3,435.58,28.35,83.62,3.03,73.5
2024,12,1,11,0.0,434.48,28.0,86.01,3.19,72.1
2024,12,1,12,0.0,429.77,27.8,87.32,3.06,70.7
2024,12,1,13,0.0,432.9,27.64,88.03,2.77,68.2
2024,12,1,14,0.0,431.77,27.55,88.24,2.57,65.1
2024,12,1,15,0.0,430.2,27.48,88.02,2.24,66.9
2024,12,1,16,0.0,422.55,27.42,87.52,1.89,73.7
2024,12,1,17,0.0,413.12,27.39,86.7,1.61,83.2
2024,12,1,18,0.0,418.62,27.36,85.91,1.42,90.0
2024,12,1,19,0.0,426.55,27.36,85.2,1.3,98.9
2024,12,1,20,0.0,427.27,27.37,84.51,1.16,113.9
2024,12,1,21,0.0,420.9,27.42,83.51,0.93,122.3
2024,12,1,22,28.9,434.65,27.56,83.47,0.66,121.3
2024,12,1,23,117.28,442.02,28.15,80.3,0.49,109.2
2024,12,2,0,264.1,438.12,28.6,77.01,0.38,96.0
2024,12,2,1,391.33,441.67,29.16,73.57,0.27,74.9
2024,12,2,2,263.88,442.65,29.68,70.12,0.26,8.7
2024,12,2,3,232.4,444.7,30.19,67.08,0.58,0.0
2024,12,2,4,178.6,446.83,30.56,65.56,1.04,7.2
2024,12,2,5,218.8,447.33,30.66,65.84,1.64,8.4
2024,12,2,6,228.07,453.08,30.36,68.14,2.11,8.2
2024,12,2,7,185.02,445.98,29.93,70.52,1.97,8.2
2024,12,2,8,162.57,450.45,29.4,72.91,1.39,11.6
2024,12,2,9,63.6,448.77,28.83,76.05,0.7,20.0
2024,12,2,10,5.53,439.0,28.34,78.86,0.17,139.8
2024,12,2,11,0.0,434.2,28.04,81.53,0.77,178.5
2024,12,2,12,0.0,433.15,27.91,82.58,1.27,179.1
2024,12,2,13,0.0,437.33,27.84,83.09,1.6,175.3
2024,12,2,14,0.0,435.83,27.69,83.79,1.82,178.4
2024,12,2,15,0.0,432.33,27.54,84.3,1.97,185.5
2024,12,2,16,0.0,430.45,27.37,84.96,2.09,192.4
2024,12,2,17,0.0,428.92,27.18,85.58,2.26,198.3
2024,12,2,18,0.0,421.65,27.03,85.97,2.55,201.4
2024,12,2,19,0.0,427.88,26.91,85.91,2.86,201.5
2024,12,2,20,0.0,426.33,26.83,85.53,2.95,198.8
2024,12,2,21,0.0,426.5,26.86,84.19,2.57,197.9
2024,12,2,22,46.97,425.35,27.15,82.57,1.98,199.2
2024,12,2,23,248.32,424.95,28.0,77.88,1.67,201.5
2024,12,3,0,473.73,423.62,28.69,72.38,1.41,203.8
2024,12,3,1,655.4,430.52,29.49,68.01,0.9,202.9
2024,12,3,2,812.15,432.85,30.29,64.36,0.32,191.0
2024,12,3,3,867.67,437.0,30.88,61.98,0.26,76.5
2024,12,3,4,850.72,440.62,31.24,60.75,0.65,50.7
2024,12,3,5,843.45,437.45,31.35,60.57,1.08,39.7
2024,12,3,6,638.12,443.92,31.2,61.61,1.49,29.8
2024,12,3,7,549.65,435.83,30.8,63.75,1.56,21.5
2024,12,3,8,343.7,434.08,30.31,66.25,1.22,20.1
2024,12,3,9,130.3,433.9,29.77,69.52,0.78,17.0
2024,12,3,10,8.25,435.38,29.13,72.92,0.32,28.2
2024,12,3,11,0.0,435.1,28.73,76.19,0.39,158.7
2024,12,3,12,0.0,434.35,28.44,79.15,1.12,173.8
2024,12,3,13,0.0,439.05,28.19,81.24,1.42,180.4
2024,12,3,14,0.0,437.62,27.92,83.46,1.18,190.3
2024,12,3,15,0.0,435.52,27.65,85.36,0.92,197.7
2024,12,3,16,0.0,436.1,27.41,86.57,0.63,200.4
2024,12,3,17,0.0,435.27,27.21,87.26,0.33,215.1
2024,12,3,18,0.0,430.05,27.07,87.5,0.27,252.9
2024,12,3,19,0.0,433.27,26.99,87.53,0.38,268.5
2024,12,3,20,0.0,432.17,26.96,87.42,0.53,266.8
2024,12,3,21,0.0,431.92,26.97,87.05,0.68,268.3
2024,12,3,22,42.1,428.98,27.06,86.69,0.71,280.5
2024,12,3,23,208.4,428.23,27.34,85.3,0.85,303.5
2024,12,4,0,422.75,426.52,27.72,83.3,1.21,326.4
2024,12,4,1,596.05,431.05,28.15,81.5,1.95,335.4
2024,12,4,2,695.53,433.08,28.37,80.85,2.58,331.5
2024,12,4,3,670.08,436.0,28.59,80.19,3.04,329.1
2024,12,4,4,532.85,440.58,28.82,79.35,3.42,330.7
2024,12,4,5,507.88,436.77,29.06,78.02,3.71,331.8
2024,12,4,6,429.83,440.15,29.2,76.96,3.9,333.8
2024,12,4,7,298.4,437.33,29.12,76.94,3.87,336.5
2024,12,4,8,176.82,436.55,28.93,77.62,3.73,338.1
2024,12,4,9,72.32,434.83,28.58,79.43,3.44,332.8
2024,12,4,10,5.65,432.4,28.0,83.02,3.02,322.9
2024,12,4,11,0.0,430.88,27.71,83.9,2.97,312.1
2024,12,4,12,0.0,430.83,27.63,83.82,2.8,302.9
2024,12,4,13,0.0,431.5,27.54,84.12,2.49,295.2
2024,12,4,14,0.0,432.0,27.41,84.41,2.07,282.8
2024,12,4,15,0.0,430.8,27.21,85.08,1.81,266.8
2024,12,4,16,0.0,433.17,27.01,85.94,1.87,252.0
2024,12,4,17,0.0,429.85,26.87,86.7,2.13,245.2
2024,12,4,18,0.0,430.92,26.8,87.03,2.31,251.9
2024,12,4,19,0.0,433.55,26.79,86.94,2.42,263.6
2024,12,4,20,0.0,431.35,26.81,86.62,2.39,269.8
2024,12,4,21,0.0,430.17,26.81,86.37,2.26,270.5
2024,12,4,22,25.9,432.55,26.9,86.09,2.03,266.3
2024,12,4,23,157.57,427.9,27.46,84.69,1.7,260.2
2024,12,5,0,324.25,426.4,27.89,81.11,1.3,253.5
2024,12,5,1,417.33,434.85,28.23,78.23,0.82,262.3
2024,12,5,2,615.28,433.62,28.6,75.63,0.77,299.6
2024,12,5,3,764.08,433.23,28.92,73.54,1.13,323.6
2024,12,5,4,771.1,434.08,29.22,72.14,1.51,332.4
2024,12,5,5,642.22,434.83,29.44,71.33,1.74,334.2
2024,12,5,6,519.5,432.27,29.55,71.09,1.92,334.8
2024,12,5,7,324.0,433.25,29.48,71.75,2.12,332.7
2024,12,5,8,191.75,432.73,29.25,73.84,2.38,328.4
2024,12,5,9,69.28,432.95,28.85,77.44,2.72,322.6
2024,12,5,10,3.3,433.58,28.21,81.94,3.04,321.3
2024,12,5,11,0.0,432.5,27.77,84.88,3.38,324.5
2024,12,5,12,0.0,429.12,27.5,86.98,3.61,327.5
2024,12,5,13,0.0,430.27,27.27,88.78,3.61,330.3
2024,12,5,14,0.0,430.95,27.1,89.98,3.57,333.2
2024,12,5,15,0.0,431.15,26.97,90.75,3.44,332.8
2024,12,5,16,0.0,430.17,26.86,91.21,3.27,329.3
2024,12,5,17,0.0,429.35,26.77,91.42,3.15,325.1
2024,12,5,18,0.0,424.83,26.68,91.36,3.12,318.2
2024,12,5,19,0.0,429.05,26.66,91.31,3.3,310.6
2024,12,5,20,0.0,429.45,26.64,91.37,3.48,304.7
2024,12,5,21,0.0,430.05,26.62,91.41,3.62,301.5
2024,12,5,22,7.95,430.52,26.68,91.45,3.72,298.6
2024,12,5,23,46.6,431.73,27.11,90.19,4.12,296.1
2024,12,6,0,101.88,427.55,27.43,88.47,4.56,294.1
2024,12,6,1,160.68,431.7,27.74,86.23,4.86,292.1
2024,12,6,2,166.5,432.55,28.04,83.79,4.96,291.0
2024,12,6,3,171.9,433.3,28.31,81.09,4.89,290.2
2024,12,6,4,197.85,434.3,28.46,79.05,4.65,290.8
2024,12,6,5,190.43,434.67,28.5,78.19,4.32,291.9
2024,12,6,6,165.05,433.58,28.41,78.15,3.91,292.4
2024,12,6,7,104.25,434.1,28.25,78.76,3.57,293.1
2024,12,6,8,67.95,433.85,28.04,80.26,3.23,295.3
2024,12,6,9,30.55,433.15,27.74,82.9,2.84,295.9
2024,12,6,10,2.38,432.15,27.31,85.9,2.5,297.7
2024,12,6,11,0.0,430.98,27.08,87.14,2.4,301.9
2024,12,6,12,0.0,427.27,26.99,87.76,2.4,306.5
2024,12,6,13,0.0,430.15,26.89,88.39,2.56,303.7
2024,12,6,14,0.0,429.88,26.83,88.7,2.73,293.7
2024,12,6,15,0.0,429.3,26.76,88.61,2.82,286.5
2024,12,6,16,0.0,428.17,26.69,88.27,2.86,282.1
2024,12,6,17,0.0,423.6,26.62,87.51,2.82,281.0
2024,12,6,18,0.0,420.35,26.57,86.46,2.62,282.3
2024,12,6,19,0.0,422.92,26.52,85.62,2.27,286.1
2024,12,6,20,0.0,422.95,26.51,84.6,1.92,290.7
2024,12,6,21,0.0,422.05,26.43,84.84,1.82,299.0
2024,12,6,22,33.6,427.83,26.36,86.52,1.9,306.9
2024,12,6,23,177.73,427.65,26.72,86.34,2.11,310.2
2024,12,7,0,368.83,423.5,27.18,83.74,2.23,314.5
2024,12,7,1,617.38,428.27,27.87,79.81,2.26,319.5
2024,12,7,2,759.67,433.55,28.55,76.47,2.19,323.0
2024,12,7,3,788.67,436.55,29.23,73.45,2.26,325.1
2024,12,7,4,764.5,438.6,29.86,70.83,2.62,325.6
2024,12,7,5,644.62,440.67,30.28,69.18,3.17,325.8
2024,12,7,6,529.35,435.85,30.47,68.46,3.61,324.6
2024,12,7,7,393.23,437.67,30.42,68.85,3.86,324.7
2024,12,7,8,235.52,438.35,30.02,71.29,4.04,327.8
2024,12,7,9,72.38,442.35,29.37,75.63,4.15,328.0
2024,12,7,10,5.15,441.33,28.46,81.74,3.76,325.1
2024,12,7,11,0.0,438.9,27.97,85.06,3.48,320.1
2024,12,7,12,0.0,436.95,27.77,86.49,3.28,313.8
2024,12,7,13,0.0,433.17,27.65,87.2,3.2,306.2
2024,12,7,14,0.0,434.17,27.57,87.7,3.31,299.5
2024,12,7,15,0.0,434.25,27.46,88.29,3.25,297.3
2024,12,7,16,0.0,430.3,27.31,88.99,3.03,299.0
2024,12,7,17,0.0,431.42,27.17,89.55,2.88,299.6
2024,12,7,18,0.0,424.33,27.04,89.97,2.86,297.3
2024,12,7,19,0.0,430.25,26.93,90.1,2.77,293.1
2024,12,7,20,0.0,427.55,26.88,89.87,2.62,287.8
2024,12,7,21,0.0,426.58,26.88,89.54,2.58,281.9
2024,12,7,22,36.25,427.77,27.03,89.1,2.56,277.8
2024,12,7,23,196.2,428.58,27.75,86.85,2.64,278.5
2024,12,8,0,399.85,426.02,28.39,82.78,2.8,285.1
2024,12,8,1,562.97,434.08,29.03,79.23,3.12,293.0
